,Dec 2019,Dec 2020,Dec 2021,"Mar 2022
            
              15m",Mar 2023,Mar 2024,Mar 2025
Sales +,"3,236","3,420","3,771","4,884","4,469","5,237","6,385"
Expenses +,"2,899","3,152","3,526","4,560","4,218","4,878","5,789"
Operating Profit,337,269,244,323,250,359,596
OPM %,10%,8%,6%,7%,6%,7%,9%
Other Income +,-41,-18,74,101,15,9,57
Interest,28,38,32,53,54,57,45
Depreciation,48,77,81,95,80,90,91
Profit before tax,221,136,206,277,131,222,516
Tax %,25%,27%,26%,26%,28%,26%,26%
Net Profit +,165,100,152,203,94,164,384
EPS in Rs,39.02,23.55,35.80,47.99,22.16,38.64,86.15
Dividend Payout %,0%,8%,0%,6%,15%,10%,7%
