,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,632,608,636,673,673,676,687,720,756
Expenses +,535,511,515,524,534,548,561,589,608
Operating Profit,97,97,121,149,139,129,126,132,148
OPM %,15%,16%,19%,22%,21%,19%,18%,18%,20%
Other Income +,13,28,12,13,26,22,21,38,26
Interest,12,13,12,12,12,12,4,3,3
Depreciation,20,20,20,18,18,20,19,20,21
Profit before tax,79,92,101,132,134,120,124,146,149
Tax %,38%,26%,25%,25%,29%,27%,26%,25%,21%
Net Profit +,49,68,75,99,95,88,92,110,118
EPS in Rs,2.20,3.08,3.38,4.45,4.26,3.67,3.83,4.58,4.90
Raw PDF,,,,,,,,,
