,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,60,85,76,83,89,93,98,112,120,127
Expenses +,42,54,50,57,56,61,65,72,78,81
Operating Profit,17,30,26,26,33,31,33,40,43,46
OPM %,29%,36%,35%,32%,37%,34%,34%,36%,36%,36%
Other Income +,3,5,0,11,18,3,1,2,5,3
Interest,13,11,10,12,19,6,3,5,6,4
Depreciation,4,4,5,5,5,5,6,7,7,9
Profit before tax,3,20,11,20,27,23,24,30,34,36
Tax %,-31%,26%,35%,3%,37%,34%,30%,30%,30%,31%
Net Profit +,4,15,7,19,17,15,17,21,24,25
EPS in Rs,23.31,89.78,44.80,3.92,2.84,2.53,2.90,3.55,4.05,3.91
Raw PDF,,,,,,,,,,
