,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,773,774,915,938,949,"1,015","1,220"
Reserves,655,294,"1,729","1,835","2,394","3,019","5,592"
Borrowings +,"1,703","5,285","3,600","4,100","6,573","9,451","5,017"
Other Liabilities +,"3,489","3,406","3,805","5,321","6,873","8,269","4,811"
Total Liabilities,"6,621","9,758","10,049","12,195","16,790","21,754","16,640"
Fixed Assets +,"2,555","4,940","5,627","6,059","8,359","11,867","9,418"
CWIP,22,48,38,103,204,171,181
Investments,4,14,418,684,267,985,"1,749"
Other Assets +,"4,039","4,756","3,966","5,348","7,960","8,731","5,292"
Total Assets,"6,621","9,758","10,049","12,195","16,790","21,754","16,640"
