,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,289,289,289,289,289,289,289,289,289,289,283,279,279
Reserves,"7,776","9,878","10,806","13,731","17,567","20,136","22,944","21,373","26,984","29,570","29,079","28,683","30,700"
Borrowings +,116,59,112,118,120,121,125,126,121,123,124,"1,912","5,245"
Other Liabilities +,"4,461","5,081","4,758","3,102","3,661","4,595","5,476","4,722","6,207","5,129","5,651","8,470","9,618"
Total Liabilities,"12,642","15,308","15,966","17,240","21,638","25,141","28,834","26,510","33,602","35,111","35,136","39,344","45,842"
Fixed Assets +,"2,355","2,660","2,448","2,026","2,002","1,878","1,764","1,699","1,668","1,836","2,842","3,217","3,214"
CWIP,294,144,255,52,42,56,48,60,16,77,85,35,141
Investments,"6,059","8,448","8,985","11,067","15,477","18,895","20,603","19,914","24,687","26,634","26,183","28,087","28,552"
Other Assets +,"3,934","4,056","4,277","4,095","4,117","4,312","6,420","4,837","7,232","6,564","6,026","8,005","13,934"
Total Assets,"12,642","15,308","15,966","17,240","21,638","25,141","28,834","26,510","33,602","35,111","35,136","39,344","45,842"
